,ImageID,concept,category,mask_type,mask_path
64,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_10s.jpg,pizza,food,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/pizza/blocked_8_b4.png
65,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_10s.jpg,pizza,food,no_mask,no_mask
66,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_13n.jpg,pizza,food,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/box/box_11s.jpg
67,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_13n.jpg,pizza,food,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/computer/computer_11s_p0.5.png
68,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_13n.jpg,pizza,food,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_6_d300.png
69,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_13n.jpg,pizza,food,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_3_d300.png
70,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_13n.jpg,pizza,food,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/pizza/blocked_7_b4.png
71,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_13n.jpg,pizza,food,no_mask,no_mask
72,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_01b.jpg,apple,fruit,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/ladder/ladder_04s.jpg
73,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_01b.jpg,apple,fruit,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/table/table_07s_p0.5.png
74,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_01b.jpg,apple,fruit,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_0_d300.png
75,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_01b.jpg,apple,fruit,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_7_d300.png
76,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_01b.jpg,apple,fruit,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/apple/blocked_6_b4.png
77,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_01b.jpg,apple,fruit,no_mask,no_mask
78,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_06s.jpg,apple,fruit,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/microwave/microwave_03s.jpg
79,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_06s.jpg,apple,fruit,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/screwdriver/screwdriver_02s_p0.5.png
80,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_06s.jpg,apple,fruit,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_9_d300.png
81,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_06s.jpg,apple,fruit,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_15_d300.png
82,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_06s.jpg,apple,fruit,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/apple/blocked_6_b4.png
83,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_06s.jpg,apple,fruit,no_mask,no_mask
84,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_10s.jpg,apple,fruit,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/candle/candle_07n.jpg
85,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_10s.jpg,apple,fruit,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/banana/banana_05s_p0.5.png
86,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_10s.jpg,apple,fruit,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_18_d300.png
87,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_10s.jpg,apple,fruit,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_13_d300.png
88,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_10s.jpg,apple,fruit,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/apple/blocked_5_b4.png
89,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_10s.jpg,apple,fruit,no_mask,no_mask
90,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_05s.jpg,apple,fruit,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/nose/nose_12s.jpg
91,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_05s.jpg,apple,fruit,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/microwave/microwave_06s_p0.5.png
92,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_05s.jpg,apple,fruit,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_5_d300.png
93,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_05s.jpg,apple,fruit,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_12_d300.png
94,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_05s.jpg,apple,fruit,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/apple/blocked_3_b4.png
95,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_05s.jpg,apple,fruit,no_mask,no_mask
96,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_09s.jpg,apple,fruit,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/motorcycle/motorcycle_06s.jpg
97,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_09s.jpg,apple,fruit,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/overalls/overalls_07s_p0.5.png
98,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_09s.jpg,apple,fruit,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_11_d300.png
99,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_09s.jpg,apple,fruit,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_6_d300.png
100,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_09s.jpg,apple,fruit,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/apple/blocked_4_b4.png
101,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_09s.jpg,apple,fruit,no_mask,no_mask
102,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_12s.jpg,apple,fruit,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/flamingo/flamingo_05s.jpg
103,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_12s.jpg,apple,fruit,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/robot/robot_06s_p0.5.png
104,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_12s.jpg,apple,fruit,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_15_d300.png
105,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_12s.jpg,apple,fruit,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_1_d300.png
106,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_12s.jpg,apple,fruit,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/apple/blocked_9_b4.png
107,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/apple/apple_12s.jpg,apple,fruit,no_mask,no_mask
108,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/banana/banana_01b.jpg,banana,fruit,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/refrigerator/refrigerator_07s.jpg
109,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/banana/banana_01b.jpg,banana,fruit,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/cactus/cactus_06s_p0.5.png
110,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/banana/banana_01b.jpg,banana,fruit,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_6_d300.png
111,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/banana/banana_01b.jpg,banana,fruit,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_8_d300.png
112,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/banana/banana_01b.jpg,banana,fruit,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/banana/blocked_4_b4.png
113,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/banana/banana_01b.jpg,banana,fruit,no_mask,no_mask
114,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/banana/banana_11s.jpg,banana,fruit,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/butterfly/butterfly_10s.jpg
